stem	count
expert	169
system	124
trust	105
human	91
epistem	81
expertis	80
opac	78
ai	77
reason	57
artifici	47
decis	42
form	42
agent	41
place	40
action	38
concept	33
knowledg	32
question	31
fact	28
machin	28
understand	28
subject	27
explain	26
individu	26
sens	26
way	26
context	25
consid	25
judgement	25
hand	25
person	25
use	24
certain	24
point	24
case	24
base	23
describ	23
matter	22
insofar	22
relat	22
follow	22
ration	21
particular	21
trustworthi	21
characterist	20
caus	20
moral	20
charact	20
present	19
et	19
al	19
process	19
analog	19
posit	19
reliabl	19
relationship	18
artefact	18
term	18
social	17
thing	17
suggest	17
peer	17
gener	16
output	16
make	16
norm	16
field	16
dimens	16
layperson	15
abl	15
literatur	15
refer	15
given	15
opaqu	15
explan	15
justifi	15
peopl	15
cours	15
note	15
possibl	15
mention	14
concern	14
varieti	14
respons	14
exampl	14
attribut	14
correct	14
object	14
intellectu	13
learn	13
paper	13
technolog	13
veritist	13
specif	13
design	13
abil	12
reli	12
relianc	12
natur	12
type	12
expect	12
causal	12
credibl	12
defer	11
goldman	11
testimoni	11
mobilis	11
observ	11
precis	11
kind	11
result	11
algorithm	11
time	11
model	11
similar	11
differ	11
condit	11
actual	11
brain	11
non	10
work	10
ross	10
regard	10
write	10
let	10
distinct	10
find	10
oper	10
simpli	10
act	10
qualiti	10
extent	9
notion	9
depend	9
